Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2012,2,25,17.4,10.6,18.2,20.2,13.3,15.2,25.9,24.0,10.3,4.6,1.9,0.8,0.3,0.3,1.0,0.9,2.5,4.0,5.2,1.6,1.9,8.9,13.5,27.6
2012,2,26,75.6,93.7,84.3,86.2,90.7,84.3,69.6,51.3,23.6,14.4,26.9,56.8,59.1,60.9,67.7,64.6,50.8,58.5,60.0,48.4,62.2,38.1,33.4,27.7
2012,2,27,32.9,50.0,50.5,54.6,48.4,52.9,49.6,35.3,27.0,20.8,14.1,9.2,4.1,1.8,0.3,0.2,0.2,1.9,7.7,15.6,23.7,30.2,39.2,48.0
2012,2,28,56.9,76.1,85.4,75.3,65.3,59.3,54.2,62.3,58.8,59.3,63.7,62.8,60.2,64.9,63.8,66.4,59.3,36.6,52.5,54.3,48.0,40.7,34.0,30.5
2012,2,29,56.9,76.1,85.4,75.3,65.3,59.3,54.2,62.3,58.8,59.3,63.7,62.8,60.2,64.9,63.8,66.4,59.3,36.6,52.5,54.3,48.0,40.7,34.0,30.5
2012,3,1,20.5,16.1,15.5,14.4,13.4,6.6,4.1,1.2,1.6,1.2,0.8,0.3,0.1,0.0,0.0,0.0,0.0,0.5,2.3,3.9,7.4,14.7,20.5,25.6
2012,3,2,33.2,40.1,43.9,44.2,42.8,46.0,44.9,29.1,18.4,22.6,27.8,29.4,29.2,30.8,30.3,31.2,32.5,47.5,85.1,93.5,89.1,76.9,67.8,65.7
2012,3,3,60.1,55.7,47.5,40.3,36.4,36.7,35.9,38.8,29.9,27.4,32.1,34.8,36.3,38.8,44.1,48.6,49.5,65.6,82.4,81.0,73.5,69.0,66.4,64.7
2012,3,4,59.8,56.6,51.5,33.0,34.1,30.4,27.6,27.6,24.6,23.0,23.7,27.1,31.9,38.5,46.8,57.6,64.3,68.7,69.4,72.7,63.8,63.2,64.3,61.6
2012,3,5,60.8,59.5,61.2,61.4,55.7,55.9,56.5,47.5,35.3,35.5,40.2,45.1,57.2,60.2,57.5,53.9,45.4,71.4,84.1,89.0,96.6,86.7,79.2,77.2
2012,3,6,58.6,56.4,57.7,62.3,49.4,38.5,39.2,47.1,38.9,39.1,40.8,40.1,50.2,49.9,51.2,58.4,63.4,48.6,49.2,68.6,67.1,54.3,53.3,56.0
2012,3,7,57.6,42.8,34.6,33.5,18.3,19.5,38.6,67.5,58.5,40.5,39.0,36.7,34.2,41.9,63.6,82.3,63.7,55.7,61.7,81.6,98.4,96.4,98.3,92.6
2012,3,8,82.5,69.4,39.1,44.3,17.3,16.8,9.0,3.9,2.7,1.6,0.5,0.1,0.0,0.3,1.9,4.8,5.3,6.5,11.0,27.2,41.2,49.6,58.5,69.4
2012,3,9,73.0,69.2,64.3,58.4,50.5,47.6,35.4,29.9,34.6,46.9,70.1,68.9,62.5,64.6,63.8,71.7,64.0,51.5,23.8,25.2,47.2,36.7,62.3,63.7
2012,3,10,54.5,45.3,48.9,49.9,33.4,22.1,22.3,18.7,12.0,11.5,18.9,20.9,45.0,33.3,49.4,36.5,27.4,23.0,21.8,18.5,16.8,7.3,1.4,17.5
2012,3,11,26.5,46.0,79.6,67.8,58.8,58.2,65.0,64.4,69.6,54.2,51.8,63.2,66.1,50.4,40.9,37.7,33.3,25.4,19.6,22.0,19.4,14.7,13.1,12.3
2012,3,12,11.7,9.4,10.3,10.6,11.6,13.2,14.3,11.0,12.4,8.7,6.0,5.1,3.9,3.0,2.6,2.5,3.1,4.3,6.0,5.8,4.6,4.7,5.2,6.2
2012,3,13,6.0,7.1,7.5,9.3,11.4,10.2,11.5,14.4,12.1,9.7,6.3,9.1,9.3,9.6,8.7,11.1,9.8,6.3,7.1,7.5,7.6,8.6,8.9,8.4
2012,3,14,9.3,10.6,13.1,14.9,11.7,13.9,12.5,7.5,3.8,1.9,1.4,0.9,0.5,0.3,0.2,0.0,0.0,0.0,0.4,1.0,3.2,6.4,8.6,15.2
2012,3,15,18.9,23.8,28.3,30.4,29.8,25.7,29.2,14.1,8.0,7.2,10.4,13.2,13.9,13.4,13.8,17.6,16.9,16.2,27.2,46.7,48.8,65.6,72.3,81.8
2012,3,16,79.4,78.9,72.1,49.1,50.9,52.1,51.0,19.1,5.0,2.8,2.3,4.0,9.7,11.8,11.1,11.9,13.8,16.8,27.7,20.8,40.4,62.8,77.1,79.5
2012,3,17,80.4,77.6,74.8,73.0,69.9,69.4,71.1,69.4,56.6,58.6,66.7,67.8,58.5,43.0,36.5,36.4,38.1,56.2,88.4,99.2,93.0,85.1,70.8,63.8
2012,3,18,64.1,64.4,63.4,62.3,54.4,44.2,48.1,34.1,28.3,19.3,16.1,10.1,8.0,5.6,3.0,2.3,3.7,10.5,47.3,53.6,42.8,52.6,15.4,9.8
2012,3,19,13.2,26.2,32.3,19.6,18.3,22.4,26.3,15.7,11.2,10.8,11.0,8.4,6.9,6.0,4.5,4.9,5.8,10.8,22.1,26.8,24.8,17.5,22.1,14.1
2012,3,20,10.0,10.8,7.1,6.9,8.9,13.7,17.2,8.4,10.4,14.5,19.9,30.4,34.3,40.0,48.6,54.0,57.4,67.3,83.0,92.2,96.9,88.2,72.7,58.4
