Year,Month,Day,Period,1
2012,1,12,15,0.947673495
2012,1,12,16,0.944326008
2012,1,12,17,0.959891821
2012,1,12,18,1.007760882
2012,1,12,19,1.09646928
2012,1,12,20,1.107181238
2012,1,12,21,1.093623917
2012,1,12,22,1.050608712
2012,1,12,23,0.97411864
2012,1,12,24,0.89846544
2012,1,13,1,0.852772246
2012,1,13,2,0.833858946
2012,1,13,3,0.829339839
2012,1,13,4,0.836871684
2012,1,13,5,0.86950968
2012,1,13,6,0.954201094
2012,1,13,7,1.092954419
2012,1,13,8,1.137141244
2012,1,13,9,1.100988387
2012,1,13,10,1.081740339
2012,1,13,11,1.066174525
2012,1,13,12,1.04475061
2012,1,13,13,1.021820326
2012,1,13,14,1.007091384
2012,1,13,15,0.994036186
2012,1,13,16,0.990856074
2012,1,13,17,0.997216299
2012,1,13,18,1.024498315
2012,1,13,19,1.080066595
2012,1,13,20,1.07370637
2012,1,13,21,1.05479307
2012,1,13,22,1.019811834
2012,1,13,23,0.965917298
2012,1,13,24,0.906332034
2012,1,14,1,0.859801968
2012,1,14,2,0.835532689
2012,1,14,3,0.824151234
2012,1,14,4,0.823649111
2012,1,14,5,0.836369561
2012,1,14,6,0.86950968
2012,1,14,7,0.918717735
2012,1,14,8,0.967758415
2012,1,14,9,0.996044678
2012,1,14,10,0.999057416
2012,1,14,11,0.979307245
2012,1,14,12,0.940309024
2012,1,14,13,0.902649798
2012,1,14,14,0.866664316
2012,1,14,15,0.838545427
2012,1,14,16,0.822142742
2012,1,14,17,0.825992352
2012,1,14,18,0.865492695
2012,1,14,19,0.949514613
2012,1,14,20,0.964745677
2012,1,14,21,0.96022657
2012,1,14,22,0.944326008
2012,1,14,23,0.909846895
2012,1,14,24,0.869174931
2012,1,15,1,0.838545427
2012,1,15,2,0.82281224
2012,1,15,3,0.82013425
2012,1,15,4,0.82398386
2012,1,15,5,0.839214925
2012,1,15,6,0.872355043
2012,1,15,7,0.917546114
2012,1,15,8,0.961732939
2012,1,15,9,0.989349705
2012,1,15,10,0.982152608
2012,1,15,11,0.953196848
2012,1,15,12,0.917546114
2012,1,15,13,0.886749236
2012,1,15,14,0.85561761
2012,1,15,15,0.832519951
2012,1,15,16,0.82013425
2012,1,15,17,0.823481737
2012,1,15,18,0.866162193
2012,1,15,19,0.957883329
2012,1,15,20,0.986169592
2012,1,15,21,0.978805121
2012,1,15,22,0.954201094
2012,1,15,23,0.900306558
2012,1,15,24,0.837039058
2012,1,16,1,0.803396817
2012,1,16,2,0.79000687
2012,1,16,3,0.789169998
2012,1,16,4,0.801890448
2012,1,16,5,0.83670431
2012,1,16,6,0.920558852
2012,1,16,7,1.049102343
2012,1,16,8,1.091280676
2012,1,16,9,1.055127819
2012,1,16,10,1.026004684
2012,1,16,11,1.000061662
2012,1,16,12,0.968762661
2012,1,16,13,0.940476398
2012,1,16,14,0.912692258
2012,1,16,15,0.890096723
2012,1,16,16,0.88072376
2012,1,16,17,0.886916611
2012,1,16,18,0.926584328
2012,1,16,19,1.007593507
2012,1,16,20,1.021318203
2012,1,16,21,1.005585015
2012,1,16,22,0.961732939
2012,1,16,23,0.885912365
2012,1,16,24,0.806409555
2012,1,17,1,0.757536248
2012,1,17,2,0.734940713
2012,1,17,3,0.727910991
2012,1,17,4,0.735275461
2012,1,17,5,0.763896473
2012,1,17,6,0.848085764
2012,1,17,7,0.991525571
2012,1,17,8,1.034875524
2012,1,17,9,0.997383673
2012,1,17,10,0.973281768
2012,1,17,11,0.95520534
2012,1,17,12,0.931772933
2012,1,17,13,0.908173151
2012,1,17,14,0.885912365
2012,1,17,15,0.869007557
2012,1,17,16,0.86566007
2012,1,17,17,0.877376273
2012,1,17,18,0.926919077
2012,1,17,19,1.026172059
2012,1,17,20,1.050441338
2012,1,17,21,1.046424354
2012,1,17,22,1.012447363
2012,1,17,23,0.943321762
2012,1,17,24,0.871016049
2012,1,18,1,0.830009336
2012,1,18,2,0.816786763
2012,1,18,3,0.818125758
2012,1,18,4,0.830511459
2012,1,18,5,0.868338059
2012,1,18,6,0.959724447
2012,1,18,7,1.11036135
2012,1,18,8,1.150531191
2012,1,18,9,1.094460788
2012,1,18,10,1.050608712
2012,1,18,11,1.012279989
2012,1,18,12,0.973616517
2012,1,18,13,0.940643773
2012,1,18,14,0.913863879
2012,1,18,15,0.892774712
2012,1,18,16,0.88457337
2012,1,18,17,0.894113707
2012,1,18,18,0.936961537
2012,1,18,19,1.02466569
2012,1,18,20,1.041570498
2012,1,18,21,1.032197535
2012,1,18,22,0.993534063
2012,1,18,23,0.919889355
2012,1,18,24,0.843064534
2012,1,19,1,0.7950281
2012,1,19,2,0.77845804
2012,1,19,3,0.7761148
2012,1,19,4,0.785989886
2012,1,19,5,0.819130004
2012,1,19,6,0.908340526
2012,1,19,7,1.055629942
2012,1,19,8,1.09529766
2012,1,19,9,1.04977184
2012,1,19,10,1.020313957
2012,1,19,11,1.001735406
2012,1,19,12,0.979976742
2012,1,19,13,0.958050704
2012,1,19,14,0.938970029
2012,1,19,15,0.92239997
2012,1,19,16,0.918215612
2012,1,19,17,0.931438184
2012,1,19,18,0.971440651
2012,1,19,19,1.057638434
2012,1,19,20,1.075714862
2012,1,19,21,1.066676648
2012,1,19,22,1.024498315
2012,1,19,23,0.947840869
2012,1,19,24,0.871518172
2012,1,20,1,0.826829224
2012,1,20,2,0.810259164
2012,1,20,3,0.807413801
2012,1,20,4,0.817456261
2012,1,20,5,0.853441743
2012,1,20,6,0.944493382
2012,1,20,7,1.091113301
2012,1,20,8,1.136806495
2012,1,20,9,1.096134532
2012,1,20,10,1.067848269
2012,1,20,11,1.044081113
2012,1,20,12,1.014957978
2012,1,20,13,0.986671715
2012,1,20,14,0.968427913
2012,1,20,15,0.953698971
2012,1,20,16,0.951020982
2012,1,20,17,0.957046458
2012,1,20,18,0.984997972
2012,1,20,19,1.048098097
