Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2012,1,14,10151,9725,9625,9767,10081,10871,11977,12794,13196,13221,12948,12259,11293,10330,9574,9211,9267,10370,11906,12003,11983,11770,11188,10497
2012,1,15,10011,9687,9687,9818,10137,10720,11677,12421,12778,12391,11652,10866,10231,9722,9111,8831,8821,9854,11660,12063,11977,11586,10648,9572
2012,1,16,9068,8878,8971,9255,9904,11597,13913,14984,14490,13964,13397,12855,12171,11642,11039,10662,10740,11692,12963,13015,12922,12270,10930,9618
2012,1,17,8909,8700,8764,9096,9840,11546,14145,15211,14424,13856,13401,12864,12357,11932,11454,11112,11301,12262,13916,14131,14221,13796,12596,11416
2012,1,18,10599,10421,10509,10923,11616,13128,15467,16368,15372,14569,13748,12928,12220,11584,11001,10640,10799,11671,13134,13174,13097,12562,11241,9888
2012,1,19,9413,9157,9233,9615,10382,12019,14646,15698,14865,14303,13806,13231,12731,12368,11932,11590,11785,12647,14105,14285,14254,13746,12570,11296
2012,1,20,10526,10303,10360,10661,11300,12706,15075,16071,15278,14610,13954,13176,12609,12137,11664,11307,11329,11904,12879,12732,12586,12121,11268,10345
2012,1,21,9915,9485,9399,9523,9819,10603,11706,12545,12933,12916,12556,11847,10905,9995,9286,8991,9002,9775,11158,11242,11124,10820,10158,9404
2012,1,22,8799,8458,8374,8390,8572,8963,9810,10548,11059,10924,10390,9771,9347,9026,8656,8476,8461,9079,10741,11083,10942,10556,9651,8611
2012,1,23,8142,7937,7969,8141,8623,10179,12669,13805,13419,13128,12742,12350,11759,11334,10767,10423,10486,11281,12529,12590,12436,11787,10386,9022
2012,1,24,8317,8077,8074,8287,8840,10467,13083,14216,13688,13437,13210,12852,12534,12261,11826,11516,11644,12396,13921,14146,14149,13763,12604,11533
2012,1,25,10827,10677,10818,11257,11965,13411,15620,16490,15614,14908,14144,13384,12755,12197,11658,11338,11468,12214,13654,13767,13696,13196,11895,10617
2012,1,26,9924,9606,9653,9953,10630,12123,14598,15595,14812,14262,13766,13214,12757,12417,11982,11661,11790,12421,13784,13970,13900,13392,12194,10897
2012,1,27,10155,9909,9982,10269,10901,12309,14652,15615,14863,14165,13458,12566,12015,11557,11088,10688,10585,10970,12158,12178,12103,11695,10879,9998
2012,1,28,9618,9253,9224,9389,9715,10492,11638,12468,12776,12601,12123,11362,10425,9574,8968,8719,8731,9317,10726,10898,10771,10428,9711,8967
2012,1,29,8414,8054,7937,7933,8090,8436,9117,9823,10421,10404,9972,9425,9120,8909,8636,8507,8527,9037,10541,10944,10800,10461,9499,8407
2012,1,30,7861,7667,7716,7902,8396,9995,12764,13899,13330,12920,12501,12075,11533,11200,10700,10418,10528,11265,12536,12739,12647,12064,10712,9359
2012,1,31,8630,8428,8506,8773,9482,11174,13759,14862,14242,13846,13467,12964,12554,12177,11714,11338,11426,12141,13756,14114,14158,13829,12678,11622
2012,2,1,11060,10886,11063,11524,12319,13827,16096,16991,16213,15561,14934,14195,13592,13094,12643,12354,12509,13170,14527,14729,14682,14176,12931,11739
2012,2,2,11165,10873,10929,11205,11822,13187,15428,16260,15376,14744,14156,13530,13026,12619,12153,11841,11926,12467,13803,14083,14022,13532,12369,11121
2012,2,3,10415,10152,10206,10479,11055,12388,14628,15509,14816,14143,13456,12552,12059,11648,11221,10831,10738,11122,12283,12413,12377,11988,11211,10369
2012,2,4,9983,9631,9661,9862,10206,10978,12115,12858,13104,12851,12364,11491,10549,9736,9112,8862,8810,9328,10677,10955,10833,10440,9721,8983
2012,2,5,8491,8156,8059,8054,8224,8590,9334,10024,10481,10323,9903,9357,9132,8957,8741,8643,8646,9052,10435,10922,10803,10481,9518,8444
2012,2,6,7794,7616,7684,7883,8360,9876,12577,13662,13125,12752,12345,11850,11261,10909,10402,10090,10165,10814,12112,12472,12420,11898,10548,9213
2012,2,7,8587,8402,8481,8751,9432,11079,13650,14642,13882,13355,12849,12274,11872,11473,11003,10582,10619,11199,12756,13198,13172,12747,11500,10291
2012,2,8,9757,9491,9589,9990,10730,12299,14662,15539,14818,14300,13839,13235,12773,12452,12117,11879,11984,12484,13702,13977,13896,13395,12124,10844
